Task #1009405059: depth 5, type 2, seed 1009405059, output 3101023037 (0 descendants)
Task #334851552: depth 5, type 5, seed 334851552, output 1445162254 (0 descendants)
Task #3351122113: depth 5, type 3, seed 3351122113, output 24864 (0 descendants)
Task #335190122: depth 3, type 2, seed 335190122, output 3233442670 (4 descendants)
Task #3353619968: depth 5, type 1, seed 3353619968, output 747031 (0 descendants)
Task #3356751515: depth 5, type 2, seed 3356751515, output 2012532232 (0 descendants)
Task #3364497142: depth 5, type 3, seed 3364497142, output 27452 (0 descendants)
Task #3367784499: depth 4, type 4, seed 3367784499, output 1700869729 (4 descendants)
Task #3368093661: depth 3, type 4, seed 3368093661, output 1701197921 (3 descendants)
Task #3368618615: depth 5, type 3, seed 3368618615, output 14329 (0 descendants)
Task #3369569177: depth 5, type 1, seed 3369569177, output 297531 (0 descendants)
Task #3375384335: depth 4, type 1, seed 3375384335, output 976046 (4 descendants)
Task #3378075178: depth 5, type 1, seed 3378075178, output 701236 (0 descendants)
Task #3380322029: depth 5, type 1, seed 3380322029, output 406659 (0 descendants)
Task #3380395890: depth 5, type 2, seed 3380395890, output 4166513497 (0 descendants)
Task #3381103787: depth 5, type 4, seed 3381103787, output 1714447156 (0 descendants)
Task #3384703188: depth 4, type 4, seed 3384703188, output 825374049 (3 descendants)
Task #3388692232: depth 5, type 4, seed 3388692232, output 892350774 (0 descendants)
Task #3399473552: depth 5, type 3, seed 3399473552, output 14393 (0 descendants)
Task #3399702127: depth 5, type 5, seed 3399702127, output 1951291890 (0 descendants)
Task #3403153613: depth 3, type 1, seed 3403153613, output 619250 (4 descendants)
Task #3406600759: depth 5, type 2, seed 3406600759, output 3228508334 (0 descendants)
Task #3410137511: depth 5, type 5, seed 3410137511, output 811649188 (0 descendants)
Task #3410899675: depth 5, type 2, seed 3410899675, output 830763480 (0 descendants)
Task #3411419275: depth 5, type 4, seed 3411419275, output 912406320 (0 descendants)
Task #3413804583: depth 5, type 2, seed 3413804583, output 3815752683 (0 descendants)
Task #3415927314: depth 5, type 5, seed 3415927314, output 3820766362 (0 descendants)
Task #3417239701: depth 5, type 5, seed 3417239701, output 3823372602 (0 descendants)
Task #3417288138: depth 5, type 3, seed 3417288138, output 19335 (0 descendants)
Task #3425762339: depth 5, type 4, seed 3425762339, output 895826224 (0 descendants)
Task #3430948172: depth 5, type 2, seed 3430948172, output 2232548999 (0 descendants)
Task #3438488804: depth 4, type 5, seed 3438488804, output 372027776 (3 descendants)
Task #3441627628: depth 5, type 3, seed 3441627628, output 12593 (0 descendants)
Task #3442955126: depth 5, type 4, seed 3442955126, output 929379121 (0 descendants)
Task #3444265170: depth 4, type 1, seed 3444265170, output 852482 (4 descendants)
Task #3447850121: depth 4, type 4, seed 3447850121, output 1698194995 (5 descendants)
Task #3449081052: depth 5, type 2, seed 3449081052, output 3610571651 (0 descendants)
Task #3451153100: depth 4, type 5, seed 3451153100, output 3022989781 (5 descendants)
Task #3462938363: depth 5, type 4, seed 3462938363, output 862269745 (0 descendants)
Task #3465797396: depth 5, type 4, seed 3465797396, output 1667380531 (0 descendants)
Task #3470712109: depth 5, type 5, seed 3470712109, output 875380558 (0 descendants)
Task #3473051208: depth 5, type 5, seed 3473051208, output 775585148 (0 descendants)
Task #3478836412: depth 5, type 4, seed 3478836412, output 1630614839 (0 descendants)
Task #3491575637: depth 5, type 5, seed 3491575637, output 417173883 (0 descendants)
Task #3500985553: depth 5, type 4, seed 3500985553, output 825647414 (0 descendants)
Task #3504687041: depth 4, type 2, seed 3504687041, output 4149409603 (3 descendants)
Task #3505053384: depth 5, type 1, seed 3505053384, output 226299 (0 descendants)
Task #3508175994: depth 3, type 1, seed 3508175994, output 923782 (3 descendants)
Task #3511386335: depth 5, type 4, seed 3511386335, output 1647534946 (0 descendants)
Task #3524746643: depth 5, type 1, seed 3524746643, output 77449 (0 descendants)
Task #3525978590: depth 5, type 2, seed 3525978590, output 1522850445 (0 descendants)
Task #3526975374: depth 5, type 4, seed 3526975374, output 925918005 (0 descendants)
Task #3529520703: depth 4, type 5, seed 3529520703, output 419652230 (4 descendants)
Task #353244261: depth 5, type 1, seed 353244261, output 13195 (0 descendants)
Task #3535354768: depth 5, type 4, seed 3535354768, output 1664693092 (0 descendants)
Task #3538311382: depth 5, type 1, seed 3538311382, output 650346 (0 descendants)
Task #3543269912: depth 4, type 5, seed 3543269912, output 1184978192 (3 descendants)
Task #3545568633: depth 5, type 4, seed 3545568633, output 959799607 (0 descendants)
Task #3545610532: depth 5, type 5, seed 3545610532, output 3686287678 (0 descendants)
Task #3549327598: depth 4, type 5, seed 3549327598, output 1416737235 (5 descendants)
Task #3550926766: depth 5, type 1, seed 3550926766, output 387216 (0 descendants)
Task #3551584139: depth 5, type 2, seed 3551584139, output 1324229103 (0 descendants)
Task #3563670362: depth 5, type 3, seed 3563670362, output 19498 (0 descendants)
Task #3565455116: depth 5, type 3, seed 3565455116, output 20379 (0 descendants)
Task #3566077264: depth 5, type 3, seed 3566077264, output 17307 (0 descendants)
Task #3569746778: depth 5, type 3, seed 3569746778, output 16595 (0 descendants)
Task #3575259494: depth 5, type 4, seed 3575259494, output 909457456 (0 descendants)
Task #3581384407: depth 4, type 2, seed 3581384407, output 3121008635 (4 descendants)
Task #3586802708: depth 5, type 3, seed 3586802708, output 17424 (0 descendants)
Task #3588133677: depth 5, type 3, seed 3588133677, output 11663 (0 descendants)
Task #358879924: depth 4, type 2, seed 358879924, output 1991085500 (4 descendants)
Task #3592174386: depth 5, type 5, seed 3592174386, output 2888010674 (0 descendants)
Task #3596554589: depth 5, type 1, seed 3596554589, output 685682 (0 descendants)
Task #360917346: depth 5, type 4, seed 360917346, output 1717712994 (0 descendants)
Task #3610709405: depth 5, type 1, seed 3610709405, output 1051918 (0 descendants)
Task #3622112652: depth 5, type 3, seed 3622112652, output 16032 (0 descendants)
Task #362334734: depth 5, type 2, seed 362334734, output 3292041804 (0 descendants)
Task #3624065712: depth 5, type 1, seed 3624065712, output 771404 (0 descendants)
Task #3624883983: depth 5, type 3, seed 3624883983, output 18403 (0 descendants)
Task #362580445: depth 5, type 5, seed 362580445, output 3167366055 (0 descendants)
Task #3628178798: depth 2, type 2, seed 3628178798, output 3769162260 (3 descendants)
Task #3629198295: depth 5, type 3, seed 3629198295, output 15554 (0 descendants)
Task #3630048342: depth 5, type 4, seed 3630048342, output 845494370 (0 descendants)
Task #3630528591: depth 5, type 5, seed 3630528591, output 2128545300 (0 descendants)
Task #3632611470: depth 5, type 5, seed 3632611470, output 773376199 (0 descendants)
Task #3637809001: depth 5, type 4, seed 3637809001, output 1684104756 (0 descendants)
Task #3638695143: depth 5, type 4, seed 3638695143, output 945894501 (0 descendants)
Task #3642057111: depth 5, type 4, seed 3642057111, output 895902773 (0 descendants)
Task #3643880664: depth 5, type 3, seed 3643880664, output 9747 (0 descendants)
Task #3645024591: depth 5, type 4, seed 3645024591, output 959592240 (0 descendants)
Task #3645954497: depth 5, type 1, seed 3645954497, output 65479 (0 descendants)
Task #36482042: depth 5, type 1, seed 36482042, output 717690 (0 descendants)
Task #3650297622: depth 4, type 2, seed 3650297622, output 777958227 (4 descendants)
Task #3651271285: depth 5, type 5, seed 3651271285, output 1191753940 (0 descendants)
Task #3652796676: depth 4, type 2, seed 3652796676, output 2707525183 (3 descendants)
Task #3652934567: depth 5, type 5, seed 3652934567, output 2803989620 (0 descendants)
Task #3654111390: depth 5, type 1, seed 3654111390, output 103238 (0 descendants)
Task #3659506754: depth 5, type 5, seed 3659506754, output 2550869291 (0 descendants)
Task #3664943264: depth 5, type 4, seed 3664943264, output 1650681399 (0 descendants)
Task #367164820: depth 5, type 5, seed 367164820, output 58923721 (0 descendants)
Task #3673287285: depth 5, type 1, seed 3673287285, output 469308 (0 descendants)
Task #3679891106: depth 5, type 5, seed 3679891106, output 1042982604 (0 descendants)
Task #3685074032: depth 4, type 4, seed 3685074032, output 1684093241 (4 descendants)
Task #3692814965: depth 5, type 3, seed 3692814965, output 17238 (0 descendants)
Task #3695361733: depth 5, type 4, seed 3695361733, output 845492578 (0 descendants)
Task #3695582540: depth 4, type 2, seed 3695582540, output 156067408 (5 descendants)
Task #3704093050: depth 5, type 1, seed 3704093050, output 421956 (0 descendants)
Task #3705533233: depth 5, type 4, seed 3705533233, output 892809317 (0 descendants)
Task #3705543197: depth 5, type 4, seed 3705543197, output 1684222515 (0 descendants)
Task #3706172012: depth 4, type 3, seed 3706172012, output 17292 (5 descendants)
Task #3713021792: depth 4, type 2, seed 3713021792, output 2680581802 (4 descendants)
Task #371711635: depth 4, type 5, seed 371711635, output 4090760143 (5 descendants)
Task #3738389943: depth 5, type 5, seed 3738389943, output 2288773207 (0 descendants)
Task #3740265986: depth 4, type 2, seed 3740265986, output 1452324591 (4 descendants)
Task #3743259503: depth 5, type 2, seed 3743259503, output 2057226297 (0 descendants)
Task #3746258510: depth 5, type 3, seed 3746258510, output 25469 (0 descendants)
Task #3747881780: depth 5, type 2, seed 3747881780, output 331974205 (0 descendants)
Task #3753416360: depth 5, type 3, seed 3753416360, output 16771 (0 descendants)
Task #3770875258: depth 5, type 5, seed 3770875258, output 3706966352 (0 descendants)
Task #3773682239: depth 5, type 3, seed 3773682239, output 15650 (0 descendants)
Task #3777908735: depth 5, type 1, seed 3777908735, output 131995 (0 descendants)
Task #3779946080: depth 5, type 2, seed 3779946080, output 2872361420 (0 descendants)
Task #3780484609: depth 5, type 4, seed 3780484609, output 1664442677 (0 descendants)
Task #3783806977: depth 5, type 1, seed 3783806977, output 176826 (0 descendants)
Task #3785187054: depth 5, type 3, seed 3785187054, output 22452 (0 descendants)
Task #3785605524: depth 4, type 4, seed 3785605524, output 962867768 (4 descendants)
Task #3786810272: depth 5, type 2, seed 3786810272, output 3666065900 (0 descendants)
Task #3787248913: depth 3, type 2, seed 3787248913, output 384512212 (4 descendants)
Task #3790095264: depth 5, type 2, seed 3790095264, output 2482435983 (0 descendants)
Task #3793013546: depth 5, type 3, seed 3793013546, output 22777 (0 descendants)
Task #37975091: depth 4, type 4, seed 37975091, output 862007651 (4 descendants)
Task #3805483683: depth 4, type 1, seed 3805483683, output 1024395 (5 descendants)
Task #382002399: depth 5, type 4, seed 382002399, output 875640162 (0 descendants)
Task #3821038813: depth 5, type 4, seed 3821038813, output 1681406305 (0 descendants)
Task #3825063056: depth 5, type 2, seed 3825063056, output 2734918333 (0 descendants)
Task #3825937123: depth 4, type 3, seed 3825937123, output 13258 (3 descendants)
Task #3832238260: depth 5, type 2, seed 3832238260, output 1704463877 (0 descendants)
Task #3836391777: depth 5, type 4, seed 3836391777, output 1698181477 (0 descendants)
Task #3838915661: depth 4, type 2, seed 3838915661, output 2560731219 (5 descendants)
Task #3840537849: depth 5, type 4, seed 3840537849, output 946234725 (0 descendants)
Task #3842070088: depth 5, type 4, seed 3842070088, output 1650735160 (0 descendants)
Task #3843102254: depth 3, type 4, seed 3843102254, output 845296230 (4 descendants)
Task #3843937910: depth 4, type 3, seed 3843937910, output 13588 (3 descendants)
Task #3850635661: depth 5, type 4, seed 3850635661, output 859060281 (0 descendants)
Task #3859712964: depth 5, type 3, seed 3859712964, output 14589 (0 descendants)
Task #3864679812: depth 5, type 3, seed 3864679812, output 12841 (0 descendants)
Task #3867424636: depth 3, type 2, seed 3867424636, output 2439334967 (4 descendants)
Task #3871507830: depth 5, type 1, seed 3871507830, output 485073 (0 descendants)
Task #3872437884: depth 4, type 2, seed 3872437884, output 3160183331 (3 descendants)
Task #3874703303: depth 4, type 2, seed 3874703303, output 3892242153 (5 descendants)
Task #3875141009: depth 5, type 5, seed 3875141009, output 3895428792 (0 descendants)
Task #3879835360: depth 3, type 1, seed 3879835360, output 603049 (4 descendants)
Task #3882119764: depth 5, type 1, seed 3882119764, output 313599 (0 descendants)
Task #3884565284: depth 5, type 5, seed 3884565284, output 1391716724 (0 descendants)
Task #3885426207: depth 5, type 3, seed 3885426207, output 20416 (0 descendants)
Task #3887644559: depth 5, type 2, seed 3887644559, output 1652354643 (0 descendants)
Task #3887944537: depth 5, type 5, seed 3887944537, output 2879885082 (0 descendants)
Task #3896054556: depth 5, type 4, seed 3896054556, output 1647523124 (0 descendants)
Task #3902568013: depth 4, type 4, seed 3902568013, output 1667654449 (4 descendants)
Task #3907155417: depth 5, type 2, seed 3907155417, output 132787443 (0 descendants)
Task #391224899: depth 5, type 1, seed 391224899, output 420723 (0 descendants)
Task #3913529168: depth 5, type 3, seed 3913529168, output 17785 (0 descendants)
Task #3916335637: depth 5, type 2, seed 3916335637, output 3012983925 (0 descendants)
Task #3917421943: depth 5, type 5, seed 3917421943, output 978866602 (0 descendants)
Task #3928150727: depth 5, type 1, seed 3928150727, output 1043185 (0 descendants)
Task #3930748633: depth 5, type 4, seed 3930748633, output 858993460 (0 descendants)
Task #3943447077: depth 5, type 5, seed 3943447077, output 4064502248 (0 descendants)
Task #3945309550: depth 5, type 2, seed 3945309550, output 1880455066 (0 descendants)
Task #3946466346: depth 5, type 1, seed 3946466346, output 347055 (0 descendants)
Task #3947772088: depth 5, type 4, seed 3947772088, output 876099939 (0 descendants)
Task #3948111941: depth 4, type 4, seed 3948111941, output 828715825 (4 descendants)
Task #3948223098: depth 5, type 3, seed 3948223098, output 13563 (0 descendants)
Task #3948538001: depth 5, type 5, seed 3948538001, output 302465017 (0 descendants)
Task #395898686: depth 4, type 3, seed 395898686, output 16649 (5 descendants)
Task #3968988668: depth 5, type 2, seed 3968988668, output 3155129824 (0 descendants)
Task #3969126996: depth 5, type 5, seed 3969126996, output 3648445611 (0 descendants)
Task #3975448776: depth 4, type 1, seed 3975448776, output 144103 (4 descendants)
Task #3975610778: depth 5, type 2, seed 3975610778, output 472668848 (0 descendants)
Task #3975828885: depth 5, type 1, seed 3975828885, output 873487 (0 descendants)
Task #3977585943: depth 5, type 5, seed 3977585943, output 3883563954 (0 descendants)
Task #3979070527: depth 5, type 3, seed 3979070527, output 23165 (0 descendants)
Task #3979826318: depth 5, type 2, seed 3979826318, output 2908784630 (0 descendants)
Task #3982934907: depth 5, type 1, seed 3982934907, output 901756 (0 descendants)
Task #3984795812: depth 5, type 4, seed 3984795812, output 962736739 (0 descendants)
Task #3985275606: depth 5, type 1, seed 3985275606, output 854191 (0 descendants)
Task #3985717341: depth 5, type 2, seed 3985717341, output 3921988042 (0 descendants)
Task #3986306233: depth 4, type 3, seed 3986306233, output 13901 (3 descendants)
Task #3996266600: depth 5, type 2, seed 3996266600, output 1528496494 (0 descendants)
Task #3997112721: depth 5, type 1, seed 3997112721, output 401539 (0 descendants)
Task #4006752504: depth 5, type 1, seed 4006752504, output 105246 (0 descendants)
Task #4009244858: depth 5, type 2, seed 4009244858, output 3002379518 (0 descendants)
Task #4014905941: depth 5, type 4, seed 4014905941, output 929456481 (0 descendants)
Task #4028878643: depth 5, type 4, seed 4028878643, output 959524965 (0 descendants)
Task #4028978779: depth 5, type 1, seed 4028978779, output 250538 (0 descendants)
Task #4029947187: depth 3, type 5, seed 4029947187, output 853054148 (5 descendants)
Task #4031470615: depth 5, type 3, seed 4031470615, output 22030 (0 descendants)
Task #4033090994: depth 4, type 4, seed 4033090994, output 808542521 (4 descendants)
Task #4036126080: depth 4, type 3, seed 4036126080, output 17646 (4 descendants)
Task #4036625877: depth 5, type 4, seed 4036625877, output 892612921 (0 descendants)
Task #4037738076: depth 5, type 4, seed 4037738076, output 960062515 (0 descendants)
Task #4043430675: depth 5, type 3, seed 4043430675, output 16536 (0 descendants)
Task #4043503874: depth 5, type 3, seed 4043503874, output 17026 (0 descendants)
Task #4050494462: depth 5, type 4, seed 4050494462, output 811676465 (0 descendants)
Task #4050778439: depth 5, type 4, seed 4050778439, output 895760181 (0 descendants)
Task #4057283978: depth 5, type 1, seed 4057283978, output 607223 (0 descendants)
Task #405874247: depth 4, type 2, seed 405874247, output 2079115235 (3 descendants)
Task #4061457521: depth 5, type 4, seed 4061457521, output 892482147 (0 descendants)
Task #4065684456: depth 4, type 4, seed 4065684456, output 828520033 (3 descendants)
Task #4068273842: depth 5, type 5, seed 4068273842, output 1733605954 (0 descendants)
Task #4080471680: depth 5, type 2, seed 4080471680, output 2570381236 (0 descendants)
Task #4081563565: depth 5, type 1, seed 4081563565, output 717973 (0 descendants)
Task #4090026162: depth 4, type 1, seed 4090026162, output 1044232 (5 descendants)
Task #4093009999: depth 3, type 1, seed 4093009999, output 877333 (5 descendants)
Task #409664936: depth 5, type 4, seed 409664936, output 1630549809 (0 descendants)
Task #4098546161: depth 4, type 2, seed 4098546161, output 3852844407 (5 descendants)
Task #4100886860: depth 5, type 3, seed 4100886860, output 12357 (0 descendants)
Task #4102798342: depth 4, type 3, seed 4102798342, output 15516 (3 descendants)
Task #410417795: depth 5, type 3, seed 410417795, output 9746 (0 descendants)
Task #4107249048: depth 4, type 2, seed 4107249048, output 3048529900 (4 descendants)
Task #4109515125: depth 5, type 1, seed 4109515125, output 76487 (0 descendants)
Task #4109906149: depth 5, type 4, seed 4109906149, output 1701208377 (0 descendants)
Task #4111411788: depth 5, type 3, seed 4111411788, output 16689 (0 descendants)
Task #4116941393: depth 5, type 5, seed 4116941393, output 1813374343 (0 descendants)
Task #4119217512: depth 4, type 1, seed 4119217512, output 924039 (3 descendants)
Task #4122089030: depth 5, type 2, seed 4122089030, output 575757381 (0 descendants)
Task #4122694663: depth 5, type 3, seed 4122694663, output 12426 (0 descendants)
Task #4125915440: depth 5, type 2, seed 4125915440, output 3279874453 (0 descendants)
Task #4130648503: depth 5, type 5, seed 4130648503, output 3379175272 (0 descendants)
Task #4134478805: depth 5, type 2, seed 4134478805, output 3601086460 (0 descendants)
Task #4136599094: depth 5, type 5, seed 4136599094, output 4061514389 (0 descendants)
Task #41379848: depth 4, type 2, seed 41379848, output 516403748 (3 descendants)
Task #4141380240: depth 5, type 1, seed 4141380240, output 786946 (0 descendants)
Task #4145352374: depth 5, type 4, seed 4145352374, output 946157360 (0 descendants)
Task #4151466449: depth 5, type 2, seed 4151466449, output 2172105732 (0 descendants)
Task #4153811940: depth 5, type 5, seed 4153811940, output 1813767800 (0 descendants)
Task #4154274418: depth 5, type 2, seed 4154274418, output 4108797173 (0 descendants)
Task #4156316682: depth 5, type 4, seed 4156316682, output 1714774630 (0 descendants)
Task #4157408088: depth 4, type 5, seed 4157408088, output 1006187845 (3 descendants)
Task #415815287: depth 2, type 5, seed 415815287, output 3884194752 (3 descendants)
Task #4163477567: depth 5, type 5, seed 4163477567, output 3471234607 (0 descendants)
Task #4168246644: depth 5, type 5, seed 4168246644, output 1292588915 (0 descendants)
Task #417692965: depth 5, type 2, seed 417692965, output 254991585 (0 descendants)
Task #4176962952: depth 5, type 3, seed 4176962952, output 20661 (0 descendants)
Task #4179739897: depth 5, type 2, seed 4179739897, output 2877887290 (0 descendants)
Task #4183747608: depth 5, type 5, seed 4183747608, output 2801516969 (0 descendants)
Task #4186975861: depth 5, type 5, seed 4186975861, output 1133175922 (0 descendants)
Task #4188565024: depth 4, type 4, seed 4188565024, output 1633890866 (3 descendants)
Task #4189784797: depth 5, type 4, seed 4189784797, output 892560996 (0 descendants)
Task #4200763283: depth 5, type 3, seed 4200763283, output 17425 (0 descendants)
Task #4206715674: depth 4, type 2, seed 4206715674, output 4054641381 (3 descendants)
Task #421000006: depth 5, type 2, seed 421000006, output 786135157 (0 descendants)
Task #4214545959: depth 3, type 1, seed 4214545959, output 505525 (5 descendants)
Task #4218219315: depth 5, type 2, seed 4218219315, output 856284395 (0 descendants)
Task #4219140901: depth 5, type 3, seed 4219140901, output 14932 (0 descendants)
Task #4224003511: depth 5, type 2, seed 4224003511, output 4186950262 (0 descendants)
Task #4226084258: depth 1, type 1, seed 4226084258, output 1015977 (3 descendants)
Task #4226356002: depth 5, type 5, seed 4226356002, output 1958473336 (0 descendants)
Task #422748527: depth 4, type 1, seed 422748527, output 965689 (5 descendants)
Task #422863495: depth 5, type 1, seed 422863495, output 264913 (0 descendants)
Task #4236337806: depth 4, type 2, seed 4236337806, output 1817189924 (4 descendants)
Task #4240202044: depth 5, type 1, seed 4240202044, output 488797 (0 descendants)
Task #4250192697: depth 5, type 4, seed 4250192697, output 1647534900 (0 descendants)
Task #4252218168: depth 5, type 1, seed 4252218168, output 519385 (0 descendants)
Task #425821740: depth 5, type 2, seed 425821740, output 739639245 (0 descendants)
Task #426095409: depth 4, type 1, seed 426095409, output 869006 (4 descendants)
Task #4264281049: depth 5, type 4, seed 4264281049, output 1664104754 (0 descendants)
Task #4266213410: depth 5, type 4, seed 4266213410, output 1698182758 (0 descendants)
Task #4267570114: depth 5, type 1, seed 4267570114, output 939121 (0 descendants)
Task #4268701871: depth 5, type 5, seed 4268701871, output 2413915401 (0 descendants)
Task #4269045784: depth 5, type 4, seed 4269045784, output 1630613860 (0 descendants)
Task #4270169586: depth 4, type 1, seed 4270169586, output 229146 (3 descendants)
Task #4272406545: depth 5, type 5, seed 4272406545, output 2040995265 (0 descendants)
Task #4273506022: depth 5, type 1, seed 4273506022, output 33557 (0 descendants)
Task #4278792569: depth 5, type 4, seed 4278792569, output 842229297 (0 descendants)
Task #4283514400: depth 5, type 4, seed 4283514400, output 878928738 (0 descendants)
Task #4289954467: depth 5, type 5, seed 4289954467, output 2133665192 (0 descendants)
Task #439460679: depth 5, type 3, seed 439460679, output 14045 (0 descendants)
Task #444534953: depth 5, type 2, seed 444534953, output 1792075970 (0 descendants)
Task #446438108: depth 5, type 3, seed 446438108, output 23019 (0 descendants)
Task #446579377: depth 5, type 1, seed 446579377, output 391349 (0 descendants)
Task #447064434: depth 5, type 3, seed 447064434, output 21269 (0 descendants)
Task #448719987: depth 5, type 1, seed 448719987, output 360257 (0 descendants)
Task #449945853: depth 4, type 1, seed 449945853, output 32784 (5 descendants)
Task #452605894: depth 5, type 4, seed 452605894, output 1630626866 (0 descendants)
Task #460811631: depth 4, type 3, seed 460811631, output 20047 (5 descendants)
Task #463461087: depth 4, type 4, seed 463461087, output 862336818 (5 descendants)
Task #472556123: depth 5, type 1, seed 472556123, output 703509 (0 descendants)
Task #474883831: depth 5, type 4, seed 474883831, output 959525431 (0 descendants)
Task #475194340: depth 5, type 3, seed 475194340, output 16124 (0 descendants)
Task #475291330: depth 4, type 1, seed 475291330, output 489716 (5 descendants)
Task #478561949: depth 5, type 1, seed 478561949, output 313538 (0 descendants)
Task #482936975: depth 5, type 4, seed 482936975, output 862072884 (0 descendants)
Task #49079204: depth 3, type 4, seed 49079204, output 962736483 (3 descendants)
Task #496183196: depth 4, type 2, seed 496183196, output 1448246845 (4 descendants)
Task #497584927: depth 5, type 3, seed 497584927, output 16128 (0 descendants)
Task #498184545: depth 3, type 5, seed 498184545, output 1486799307 (4 descendants)
Task #501278707: depth 5, type 2, seed 501278707, output 3085015563 (0 descendants)
Task #502256135: depth 5, type 1, seed 502256135, output 408388 (0 descendants)
Task #513939968: depth 5, type 4, seed 513939968, output 929182004 (0 descendants)
Task #515253741: depth 5, type 1, seed 515253741, output 100594 (0 descendants)
Task #515920520: depth 4, type 2, seed 515920520, output 3117438262 (3 descendants)
Task #521715650: depth 5, type 4, seed 521715650, output 926233399 (0 descendants)
Task #522696932: depth 5, type 5, seed 522696932, output 1398336716 (0 descendants)
Task #524130080: depth 5, type 2, seed 524130080, output 3884165125 (0 descendants)
Task #526193952: depth 5, type 1, seed 526193952, output 900379 (0 descendants)
Task #533568076: depth 5, type 5, seed 533568076, output 237546751 (0 descendants)
Task #537967965: depth 5, type 4, seed 537967965, output 895628849 (0 descendants)
Task #540348647: depth 4, type 1, seed 540348647, output 981333 (4 descendants)
Task #541230813: depth 5, type 2, seed 541230813, output 344177766 (0 descendants)
Task #544554098: depth 5, type 4, seed 544554098, output 845427508 (0 descendants)
Task #545237227: depth 4, type 5, seed 545237227, output 2357159134 (5 descendants)
Task #545948295: depth 4, type 5, seed 545948295, output 2783846837 (4 descendants)
Task #551880144: depth 4, type 4, seed 551880144, output 1650669622 (4 descendants)
Task #559214234: depth 2, type 5, seed 559214234, output 4287260212 (3 descendants)
Task #560133250: depth 5, type 3, seed 560133250, output 14429 (0 descendants)
Task #563338970: depth 5, type 5, seed 563338970, output 2234942279 (0 descendants)
Task #566642412: depth 5, type 1, seed 566642412, output 270032 (0 descendants)
Task #567055006: depth 5, type 4, seed 567055006, output 892875622 (0 descendants)
Task #569407442: depth 5, type 5, seed 569407442, output 3689751241 (0 descendants)
Task #570351874: depth 4, type 2, seed 570351874, output 4220721660 (4 descendants)
Task #578545279: depth 4, type 2, seed 578545279, output 2279796056 (3 descendants)
Task #578713223: depth 5, type 4, seed 578713223, output 1684300343 (0 descendants)
Task #57999236: depth 5, type 5, seed 57999236, output 2464606780 (0 descendants)
Task #581217337: depth 2, type 5, seed 581217337, output 345339880 (4 descendants)
Task #592003217: depth 5, type 4, seed 592003217, output 859385909 (0 descendants)
Task #592916341: depth 5, type 4, seed 592916341, output 1630875953 (0 descendants)
Task #599250384: depth 4, type 2, seed 599250384, output 3975231777 (4 descendants)
Task #600346809: depth 5, type 5, seed 600346809, output 2030346286 (0 descendants)
Task #604513474: depth 5, type 5, seed 604513474, output 3663388497 (0 descendants)
Task #615454245: depth 5, type 4, seed 615454245, output 962671929 (0 descendants)
Task #617431721: depth 5, type 1, seed 617431721, output 810643 (0 descendants)
Task #617737406: depth 5, type 4, seed 617737406, output 1647927862 (0 descendants)
Task #618201266: depth 5, type 3, seed 618201266, output 14029 (0 descendants)
Task #618255212: depth 5, type 3, seed 618255212, output 16957 (0 descendants)
Task #619231565: depth 5, type 5, seed 619231565, output 4271164684 (0 descendants)
Task #619955739: depth 5, type 2, seed 619955739, output 1608280479 (0 descendants)
Task #621666387: depth 5, type 4, seed 621666387, output 845493811 (0 descendants)
Task #627668931: depth 5, type 1, seed 627668931, output 219208 (0 descendants)
Task #628010109: depth 4, type 2, seed 628010109, output 2589495259 (4 descendants)
Task #631299713: depth 5, type 1, seed 631299713, output 426616 (0 descendants)
Task #631699825: depth 5, type 1, seed 631699825, output 334980 (0 descendants)
Task #637598215: depth 5, type 3, seed 637598215, output 15636 (0 descendants)
Task #638576234: depth 5, type 3, seed 638576234, output 22688 (0 descendants)
Task #641502634: depth 4, type 3, seed 641502634, output 25176 (4 descendants)
Task #645059898: depth 2, type 5, seed 645059898, output 3207278318 (4 descendants)
Task #648714512: depth 4, type 4, seed 648714512, output 912549168 (3 descendants)
Task #653975921: depth 5, type 3, seed 653975921, output 12684 (0 descendants)
Task #657616139: depth 5, type 1, seed 657616139, output 218611 (0 descendants)
Task #665481077: depth 5, type 3, seed 665481077, output 12359 (0 descendants)
Task #667815402: depth 5, type 3, seed 667815402, output 17060 (0 descendants)
Task #669524248: depth 4, type 4, seed 669524248, output 926102323 (5 descendants)
Task #679796309: depth 4, type 2, seed 679796309, output 2579398078 (4 descendants)
Task #68051467: depth 5, type 2, seed 68051467, output 2996801394 (0 descendants)
Task #689765723: depth 5, type 2, seed 689765723, output 1709727309 (0 descendants)
Task #693359555: depth 5, type 1, seed 693359555, output 628949 (0 descendants)
Task #69366888: depth 5, type 2, seed 69366888, output 2443199506 (0 descendants)
Task #695165323: depth 5, type 3, seed 695165323, output 23316 (0 descendants)
Task #696787256: depth 5, type 3, seed 696787256, output 23028 (0 descendants)
Task #699344151: depth 5, type 5, seed 699344151, output 594794663 (0 descendants)
Task #700017784: depth 5, type 2, seed 700017784, output 449485465 (0 descendants)
Task #703388341: depth 5, type 5, seed 703388341, output 281223748 (0 descendants)
Task #707285301: depth 5, type 2, seed 707285301, output 1169387211 (0 descendants)
Task #70907260: depth 5, type 1, seed 70907260, output 841606 (0 descendants)
Task #717234859: depth 4, type 2, seed 717234859, output 1347733008 (4 descendants)
