Task #1003913882: depth 12, type 2, seed 1003913882, output 1694948583 (0 descendants)
Task #3021319728: depth 10, type 2, seed 3021319728, output 4099271933 (3 descendants)
Task #3021920405: depth 12, type 4, seed 3021920405, output 875836470 (0 descendants)
Task #3024077671: depth 7, type 4, seed 3024077671, output 862139748 (0 descendants)
Task #3032312411: depth 12, type 4, seed 3032312411, output 876176694 (0 descendants)
Task #3039362516: depth 12, type 4, seed 3039362516, output 1664430648 (0 descendants)
Task #3043756279: depth 10, type 1, seed 3043756279, output 981744 (3 descendants)
Task #3048031875: depth 10, type 4, seed 3048031875, output 946233648 (0 descendants)
Task #3048996224: depth 11, type 3, seed 3048996224, output 22006 (2 descendants)
Task #3057099743: depth 12, type 2, seed 3057099743, output 2555723558 (0 descendants)
Task #3058881367: depth 8, type 5, seed 3058881367, output 889035638 (1 descendants)
Task #3060057122: depth 11, type 2, seed 3060057122, output 3069795501 (2 descendants)
Task #3062772414: depth 12, type 2, seed 3062772414, output 1930852617 (0 descendants)
Task #306528158: depth 12, type 4, seed 306528158, output 1630810982 (0 descendants)
Task #3066461324: depth 12, type 4, seed 3066461324, output 811874657 (0 descendants)
Task #3067872221: depth 12, type 4, seed 3067872221, output 845571170 (0 descendants)
Task #307228516: depth 11, type 5, seed 307228516, output 119719138 (1 descendants)
Task #3073033460: depth 11, type 5, seed 3073033460, output 2577933539 (3 descendants)
Task #3076411299: depth 12, type 2, seed 3076411299, output 4265630325 (0 descendants)
Task #3083832019: depth 12, type 3, seed 3083832019, output 17608 (0 descendants)
Task #3086894036: depth 7, type 1, seed 3086894036, output 741257 (1 descendants)
Task #3091995544: depth 11, type 5, seed 3091995544, output 3465828125 (1 descendants)
Task #3092653355: depth 12, type 3, seed 3092653355, output 11771 (0 descendants)
Task #3094716616: depth 12, type 1, seed 3094716616, output 545531 (0 descendants)
Task #3095280012: depth 8, type 4, seed 3095280012, output 1664104240 (3 descendants)
Task #3097249222: depth 12, type 4, seed 3097249222, output 1701000244 (0 descendants)
Task #3108739936: depth 11, type 1, seed 3108739936, output 465667 (1 descendants)
Task #3121337735: depth 12, type 2, seed 3121337735, output 287765640 (0 descendants)
Task #3124487904: depth 12, type 3, seed 3124487904, output 19098 (0 descendants)
Task #312472022: depth 11, type 1, seed 312472022, output 591800 (0 descendants)
Task #3127134214: depth 6, type 1, seed 3127134214, output 396467 (2 descendants)
Task #3133027899: depth 12, type 3, seed 3133027899, output 21281 (0 descendants)
Task #3133785024: depth 10, type 3, seed 3133785024, output 14327 (2 descendants)
Task #3138434982: depth 11, type 2, seed 3138434982, output 632512632 (1 descendants)
Task #3142393866: depth 9, type 3, seed 3142393866, output 13497 (2 descendants)
Task #3143136165: depth 12, type 4, seed 3143136165, output 1684234549 (0 descendants)
Task #3153578084: depth 8, type 1, seed 3153578084, output 776729 (1 descendants)
Task #3153650686: depth 12, type 4, seed 3153650686, output 875706422 (0 descendants)
Task #315615184: depth 10, type 1, seed 315615184, output 761588 (2 descendants)
Task #3159319209: depth 12, type 4, seed 3159319209, output 862335845 (0 descendants)
Task #3175983097: depth 11, type 3, seed 3175983097, output 21735 (0 descendants)
Task #3177008207: depth 9, type 3, seed 3177008207, output 14860 (0 descendants)
Task #3177633969: depth 12, type 4, seed 3177633969, output 1681352243 (0 descendants)
Task #3182730089: depth 9, type 1, seed 3182730089, output 963974 (2 descendants)
Task #3187285136: depth 12, type 1, seed 3187285136, output 662599 (0 descendants)
Task #318800662: depth 7, type 2, seed 318800662, output 2723014994 (2 descendants)
Task #3188815781: depth 12, type 3, seed 3188815781, output 12053 (0 descendants)
Task #3191312569: depth 12, type 5, seed 3191312569, output 1569682726 (0 descendants)
Task #3195791547: depth 11, type 4, seed 3195791547, output 1631009122 (2 descendants)
Task #3200008948: depth 12, type 5, seed 3200008948, output 2315573655 (0 descendants)
Task #3201309221: depth 11, type 5, seed 3201309221, output 708664374 (1 descendants)
Task #3205717859: depth 12, type 4, seed 3205717859, output 858796596 (0 descendants)
Task #3210189310: depth 11, type 4, seed 3210189310, output 959658040 (0 descendants)
Task #3210624837: depth 12, type 3, seed 3210624837, output 18167 (0 descendants)
Task #3211456018: depth 11, type 2, seed 3211456018, output 1812255743 (3 descendants)
Task #3214514132: depth 10, type 5, seed 3214514132, output 2072576152 (2 descendants)
Task #3216158342: depth 12, type 1, seed 3216158342, output 857437 (0 descendants)
Task #3217586185: depth 12, type 1, seed 3217586185, output 646222 (0 descendants)
Task #3221287469: depth 9, type 4, seed 3221287469, output 895824180 (3 descendants)
Task #3228202998: depth 8, type 4, seed 3228202998, output 909456183 (2 descendants)
Task #3229265595: depth 10, type 1, seed 3229265595, output 287507 (3 descendants)
Task #323444274: depth 11, type 5, seed 323444274, output 1136001361 (1 descendants)
Task #3235573471: depth 11, type 4, seed 3235573471, output 943141945 (3 descendants)
Task #323680505: depth 11, type 3, seed 323680505, output 18844 (0 descendants)
Task #323848287: depth 11, type 3, seed 323848287, output 14362 (2 descendants)
Task #3239374328: depth 11, type 3, seed 3239374328, output 13622 (0 descendants)
Task #3240111586: depth 11, type 1, seed 3240111586, output 522901 (2 descendants)
Task #3247884938: depth 11, type 3, seed 3247884938, output 11175 (2 descendants)
Task #3248854731: depth 12, type 4, seed 3248854731, output 1717974582 (0 descendants)
Task #3249044669: depth 11, type 3, seed 3249044669, output 15025 (2 descendants)
Task #3251053757: depth 10, type 5, seed 3251053757, output 1835622030 (2 descendants)
Task #3256648277: depth 12, type 1, seed 3256648277, output 761005 (0 descendants)
Task #3261813028: depth 12, type 4, seed 3261813028, output 929446196 (0 descendants)
Task #3264063922: depth 9, type 4, seed 3264063922, output 946222181 (5 descendants)
Task #3265221256: depth 12, type 1, seed 3265221256, output 264036 (0 descendants)
Task #3271978438: depth 10, type 4, seed 3271978438, output 1634022969 (1 descendants)
Task #3279988915: depth 11, type 4, seed 3279988915, output 875651941 (2 descendants)
Task #3282244739: depth 12, type 5, seed 3282244739, output 1184709714 (0 descendants)
Task #3282804268: depth 11, type 2, seed 3282804268, output 2032317131 (2 descendants)
Task #32858107: depth 11, type 2, seed 32858107, output 3939524462 (3 descendants)
Task #3286330071: depth 8, type 2, seed 3286330071, output 3507760144 (2 descendants)
Task #3298950307: depth 10, type 3, seed 3298950307, output 14855 (3 descendants)
Task #3299563538: depth 8, type 3, seed 3299563538, output 20612 (0 descendants)
Task #3307752395: depth 10, type 3, seed 3307752395, output 20597 (0 descendants)
Task #3316171617: depth 12, type 5, seed 3316171617, output 1169395951 (0 descendants)
Task #3320261156: depth 11, type 2, seed 3320261156, output 1615324956 (2 descendants)
Task #3326022542: depth 10, type 5, seed 3326022542, output 977084354 (1 descendants)
Task #332894081: depth 12, type 4, seed 332894081, output 926036787 (0 descendants)
Task #3335510279: depth 9, type 2, seed 3335510279, output 3504514326 (5 descendants)
Task #333602336: depth 11, type 5, seed 333602336, output 2230748706 (2 descendants)
Task #3336759720: depth 10, type 5, seed 3336759720, output 2886930057 (3 descendants)
Task #3339852505: depth 8, type 2, seed 3339852505, output 3619294338 (4 descendants)
Task #3341905917: depth 11, type 1, seed 3341905917, output 879323 (5 descendants)
Task #3342029951: depth 12, type 5, seed 3342029951, output 4026325561 (0 descendants)
Task #3344838534: depth 9, type 1, seed 3344838534, output 868555 (1 descendants)
Task #3346182475: depth 10, type 5, seed 3346182475, output 3116491020 (3 descendants)
Task #3348546684: depth 9, type 4, seed 3348546684, output 842424929 (0 descendants)
Task #3350577452: depth 11, type 3, seed 3350577452, output 18358 (3 descendants)
Task #3351494021: depth 9, type 5, seed 3351494021, output 2454129479 (2 descendants)
Task #335170634: depth 10, type 3, seed 335170634, output 13366 (0 descendants)
Task #3353648831: depth 7, type 4, seed 3353648831, output 1667327589 (3 descendants)
Task #335641112: depth 12, type 5, seed 335641112, output 1691580836 (0 descendants)
Task #3356878372: depth 9, type 1, seed 3356878372, output 994268 (1 descendants)
Task #3359641914: depth 12, type 1, seed 3359641914, output 51809 (0 descendants)
Task #3359915443: depth 11, type 3, seed 3359915443, output 15550 (1 descendants)
Task #3366609054: depth 11, type 4, seed 3366609054, output 926376502 (2 descendants)
Task #3371507603: depth 12, type 4, seed 3371507603, output 1630943544 (0 descendants)
Task #3372366099: depth 9, type 1, seed 3372366099, output 493499 (0 descendants)
Task #3377456122: depth 12, type 5, seed 3377456122, output 2672676254 (0 descendants)
Task #3378605215: depth 6, type 3, seed 3378605215, output 14696 (1 descendants)
Task #338723860: depth 11, type 3, seed 338723860, output 13913 (1 descendants)
Task #3387655590: depth 10, type 2, seed 3387655590, output 3071877406 (1 descendants)
Task #3393924774: depth 9, type 3, seed 3393924774, output 14763 (1 descendants)
Task #3394215182: depth 11, type 1, seed 3394215182, output 206826 (3 descendants)
Task #3408489651: depth 12, type 3, seed 3408489651, output 12101 (0 descendants)
Task #3412472233: depth 11, type 4, seed 3412472233, output 895706724 (1 descendants)
Task #3412932643: depth 12, type 3, seed 3412932643, output 19756 (0 descendants)
Task #3416457793: depth 11, type 4, seed 3416457793, output 1717921123 (0 descendants)
Task #3417233109: depth 10, type 2, seed 3417233109, output 4192139825 (1 descendants)
Task #3420285197: depth 11, type 4, seed 3420285197, output 1650799155 (2 descendants)
Task #3421648299: depth 12, type 5, seed 3421648299, output 4206693947 (0 descendants)
Task #3424348213: depth 7, type 2, seed 3424348213, output 3245862730 (2 descendants)
Task #3424792795: depth 11, type 5, seed 3424792795, output 2007436044 (1 descendants)
Task #342576178: depth 12, type 2, seed 342576178, output 1515489151 (0 descendants)
Task #3425938463: depth 11, type 4, seed 3425938463, output 926300211 (3 descendants)
Task #3429873729: depth 9, type 1, seed 3429873729, output 1011716 (2 descendants)
Task #3431970656: depth 10, type 3, seed 3431970656, output 15479 (1 descendants)
Task #3432815650: depth 6, type 4, seed 3432815650, output 859255096 (1 descendants)
Task #3436366700: depth 11, type 1, seed 3436366700, output 573277 (2 descendants)
Task #3437842792: depth 10, type 5, seed 3437842792, output 1827431786 (3 descendants)
Task #3442653138: depth 11, type 3, seed 3442653138, output 16120 (2 descendants)
Task #3444059847: depth 8, type 4, seed 3444059847, output 1701197360 (3 descendants)
Task #3445616510: depth 12, type 2, seed 3445616510, output 1827272014 (0 descendants)
Task #3447633409: depth 7, type 2, seed 3447633409, output 1321508820 (0 descendants)
Task #3449395089: depth 10, type 5, seed 3449395089, output 370424708 (1 descendants)
Task #3450115811: depth 6, type 4, seed 3450115811, output 892613686 (2 descendants)
Task #3451788493: depth 9, type 3, seed 3451788493, output 23296 (1 descendants)
Task #3452200763: depth 8, type 2, seed 3452200763, output 2957875983 (2 descendants)
Task #3452305140: depth 10, type 1, seed 3452305140, output 717920 (2 descendants)
Task #3452473462: depth 9, type 4, seed 3452473462, output 858929461 (1 descendants)
Task #3457401939: depth 12, type 1, seed 3457401939, output 68298 (0 descendants)
Task #3460813960: depth 11, type 4, seed 3460813960, output 1634089062 (1 descendants)
Task #3464469520: depth 9, type 2, seed 3464469520, output 1370292530 (2 descendants)
Task #346967277: depth 12, type 4, seed 346967277, output 1647524145 (0 descendants)
Task #3476474337: depth 9, type 2, seed 3476474337, output 2725031139 (1 descendants)
Task #3485496053: depth 11, type 2, seed 3485496053, output 4104598792 (1 descendants)
Task #3486523066: depth 10, type 1, seed 3486523066, output 218600 (1 descendants)
Task #3499750838: depth 12, type 4, seed 3499750838, output 825254196 (0 descendants)
Task #3501127156: depth 12, type 4, seed 3501127156, output 943022693 (0 descendants)
Task #350646262: depth 12, type 1, seed 350646262, output 1060818 (0 descendants)
Task #3511688054: depth 9, type 5, seed 3511688054, output 1588054544 (1 descendants)
Task #351478587: depth 6, type 3, seed 351478587, output 21296 (1 descendants)
Task #3516624957: depth 11, type 5, seed 3516624957, output 1676448799 (1 descendants)
Task #3516681892: depth 12, type 2, seed 3516681892, output 4085669636 (0 descendants)
Task #3517670575: depth 11, type 5, seed 3517670575, output 2517188152 (1 descendants)
Task #3521077624: depth 12, type 3, seed 3521077624, output 16499 (0 descendants)
Task #3523607409: depth 10, type 3, seed 3523607409, output 10915 (2 descendants)
Task #3527565934: depth 12, type 5, seed 3527565934, output 4125785668 (0 descendants)
Task #3529425690: depth 11, type 1, seed 3529425690, output 932612 (1 descendants)
Task #3530585183: depth 12, type 3, seed 3530585183, output 16695 (0 descendants)
Task #3543232192: depth 11, type 5, seed 3543232192, output 2805394365 (2 descendants)
Task #3543598010: depth 10, type 2, seed 3543598010, output 74542032 (2 descendants)
Task #354535838: depth 10, type 2, seed 354535838, output 711261582 (3 descendants)
Task #3547740910: depth 12, type 5, seed 3547740910, output 2520000035 (0 descendants)
Task #3548709600: depth 10, type 3, seed 3548709600, output 18672 (1 descendants)
Task #3552138589: depth 11, type 5, seed 3552138589, output 2269290213 (0 descendants)
Task #3561961743: depth 10, type 1, seed 3561961743, output 113961 (1 descendants)
Task #3562553340: depth 12, type 2, seed 3562553340, output 3150987081 (0 descendants)
Task #3564096353: depth 12, type 5, seed 3564096353, output 1619751513 (0 descendants)
Task #3566929089: depth 12, type 4, seed 3566929089, output 809056097 (0 descendants)
Task #3570981226: depth 11, type 2, seed 3570981226, output 3567960402 (5 descendants)
Task #3577013495: depth 9, type 2, seed 3577013495, output 2935475869 (1 descendants)
Task #3577502869: depth 12, type 2, seed 3577502869, output 2066035576 (0 descendants)
Task #3578091183: depth 10, type 1, seed 3578091183, output 85046 (2 descendants)
Task #358017329: depth 11, type 3, seed 358017329, output 18647 (4 descendants)
Task #3582960408: depth 12, type 3, seed 3582960408, output 18876 (0 descendants)
Task #3589464823: depth 8, type 1, seed 3589464823, output 957387 (1 descendants)
Task #3590538302: depth 11, type 4, seed 3590538302, output 1681470261 (2 descendants)
Task #3598750947: depth 11, type 1, seed 3598750947, output 912745 (2 descendants)
Task #3599052835: depth 11, type 2, seed 3599052835, output 148281539 (1 descendants)
Task #3608323697: depth 12, type 1, seed 3608323697, output 288232 (0 descendants)
Task #361042675: depth 12, type 4, seed 361042675, output 959656546 (0 descendants)
Task #3611207732: depth 10, type 3, seed 3611207732, output 18118 (2 descendants)
Task #3620769639: depth 7, type 1, seed 3620769639, output 821811 (1 descendants)
Task #3621477250: depth 9, type 2, seed 3621477250, output 3088030493 (3 descendants)
Task #3633928427: depth 11, type 3, seed 3633928427, output 13188 (2 descendants)
Task #3638528505: depth 10, type 3, seed 3638528505, output 13779 (1 descendants)
Task #3639417595: depth 8, type 5, seed 3639417595, output 1728426688 (0 descendants)
Task #3641938618: depth 10, type 2, seed 3641938618, output 3688418821 (1 descendants)
Task #3642543523: depth 9, type 5, seed 3642543523, output 1074875806 (2 descendants)
Task #3644754485: depth 7, type 3, seed 3644754485, output 19132 (4 descendants)
Task #3649004845: depth 10, type 3, seed 3649004845, output 17407 (3 descendants)
Task #3656965274: depth 12, type 5, seed 3656965274, output 1183550098 (0 descendants)
Task #3657577244: depth 8, type 1, seed 3657577244, output 495501 (0 descendants)
Task #3662606060: depth 7, type 4, seed 3662606060, output 892680498 (1 descendants)
Task #3663489938: depth 10, type 2, seed 3663489938, output 617772098 (2 descendants)
Task #366760534: depth 12, type 3, seed 366760534, output 16802 (0 descendants)
Task #3667956468: depth 11, type 1, seed 3667956468, output 51551 (0 descendants)
Task #3668068020: depth 8, type 4, seed 3668068020, output 808595811 (1 descendants)
Task #3668656284: depth 7, type 4, seed 3668656284, output 811874359 (1 descendants)
Task #3671288280: depth 12, type 4, seed 3671288280, output 858797110 (0 descendants)
Task #3673042027: depth 12, type 5, seed 3673042027, output 4171773194 (0 descendants)
Task #3674764737: depth 11, type 5, seed 3674764737, output 2707066340 (1 descendants)
Task #3676968481: depth 12, type 2, seed 3676968481, output 2644521235 (0 descendants)
Task #3681922426: depth 12, type 5, seed 3681922426, output 2744785423 (0 descendants)
Task #3684995663: depth 10, type 5, seed 3684995663, output 268726232 (3 descendants)
Task #3689160762: depth 12, type 5, seed 3689160762, output 2907057421 (0 descendants)
Task #3690666918: depth 12, type 3, seed 3690666918, output 23189 (0 descendants)
Task #3692929107: depth 12, type 5, seed 3692929107, output 3076544945 (0 descendants)
Task #3693878216: depth 12, type 3, seed 3693878216, output 11993 (0 descendants)
Task #3703992906: depth 12, type 5, seed 3703992906, output 2667057194 (0 descendants)
Task #3703997033: depth 11, type 3, seed 3703997033, output 18293 (2 descendants)
Task #3704761509: depth 11, type 1, seed 3704761509, output 371630 (2 descendants)
Task #3705475536: depth 8, type 5, seed 3705475536, output 1076906413 (0 descendants)
Task #3706382709: depth 12, type 3, seed 3706382709, output 24265 (0 descendants)
Task #3707287615: depth 4, type 5, seed 3707287615, output 540737709 (3 descendants)
Task #3713251906: depth 12, type 4, seed 3713251906, output 929457763 (0 descendants)
Task #3718728969: depth 7, type 5, seed 3718728969, output 2355399552 (0 descendants)
Task #3724869075: depth 8, type 2, seed 3724869075, output 1259972951 (3 descendants)
Task #3726046475: depth 8, type 5, seed 3726046475, output 3386825102 (1 descendants)
Task #3728473969: depth 12, type 1, seed 3728473969, output 9378 (0 descendants)
Task #3728503676: depth 11, type 3, seed 3728503676, output 14515 (3 descendants)
Task #3735267219: depth 8, type 5, seed 3735267219, output 2099444827 (3 descendants)
Task #3740382662: depth 9, type 4, seed 3740382662, output 909259826 (1 descendants)
Task #3742375354: depth 9, type 2, seed 3742375354, output 2634488735 (1 descendants)
Task #3743429991: depth 10, type 5, seed 3743429991, output 1645026996 (0 descendants)
Task #3744168409: depth 10, type 5, seed 3744168409, output 1731031150 (2 descendants)
Task #3748909281: depth 8, type 1, seed 3748909281, output 714615 (1 descendants)
Task #3750335842: depth 12, type 5, seed 3750335842, output 191031640 (0 descendants)
Task #3751572826: depth 12, type 2, seed 3751572826, output 1545087349 (0 descendants)
Task #3753053857: depth 10, type 4, seed 3753053857, output 1633772853 (0 descendants)
Task #3756389231: depth 11, type 5, seed 3756389231, output 2715337724 (3 descendants)
Task #375890545: depth 12, type 2, seed 375890545, output 404914533 (0 descendants)
Task #3759886460: depth 7, type 1, seed 3759886460, output 365196 (1 descendants)
Task #3764881353: depth 12, type 4, seed 3764881353, output 862020153 (0 descendants)
Task #3766589795: depth 10, type 3, seed 3766589795, output 26520 (3 descendants)
Task #3775508104: depth 12, type 5, seed 3775508104, output 1446588952 (0 descendants)
Task #3777927652: depth 12, type 1, seed 3777927652, output 836304 (0 descendants)
Task #3779393376: depth 12, type 5, seed 3779393376, output 3585652873 (0 descendants)
Task #3780265925: depth 11, type 4, seed 3780265925, output 1715024483 (2 descendants)
Task #3781279997: depth 10, type 2, seed 3781279997, output 44775668 (3 descendants)
Task #3781582127: depth 12, type 5, seed 3781582127, output 3118163722 (0 descendants)
Task #3791604558: depth 12, type 4, seed 3791604558, output 1684104547 (0 descendants)
Task #3798633278: depth 11, type 4, seed 3798633278, output 1717712226 (1 descendants)
Task #3800391449: depth 9, type 5, seed 3800391449, output 3056281288 (1 descendants)
Task #3804899200: depth 8, type 1, seed 3804899200, output 915169 (2 descendants)
Task #381075218: depth 8, type 3, seed 381075218, output 19075 (2 descendants)
Task #3812529559: depth 11, type 4, seed 3812529559, output 926036786 (1 descendants)
Task #381451480: depth 8, type 3, seed 381451480, output 15339 (2 descendants)
Task #3817750450: depth 11, type 2, seed 3817750450, output 2129028687 (0 descendants)
Task #38194872: depth 10, type 2, seed 38194872, output 386984416 (1 descendants)
Task #3820609916: depth 12, type 1, seed 3820609916, output 588240 (0 descendants)
Task #3822219999: depth 10, type 5, seed 3822219999, output 222171304 (1 descendants)
Task #382564402: depth 12, type 5, seed 382564402, output 2186578133 (0 descendants)
Task #3826753077: depth 12, type 2, seed 3826753077, output 984972902 (0 descendants)
Task #3836437856: depth 11, type 5, seed 3836437856, output 4156045886 (0 descendants)
Task #3836517540: depth 12, type 3, seed 3836517540, output 11790 (0 descendants)
Task #383694118: depth 12, type 4, seed 383694118, output 962684002 (0 descendants)
Task #3839052526: depth 12, type 5, seed 3839052526, output 3564504389 (0 descendants)
Task #3842789046: depth 8, type 4, seed 3842789046, output 1664629046 (2 descendants)
Task #3844818255: depth 12, type 3, seed 3844818255, output 14659 (0 descendants)
Task #3846263866: depth 9, type 1, seed 3846263866, output 296099 (1 descendants)
Task #3846501661: depth 11, type 1, seed 3846501661, output 93590 (0 descendants)
Task #3847695740: depth 10, type 2, seed 3847695740, output 2538457421 (3 descendants)
Task #384896236: depth 12, type 3, seed 384896236, output 12123 (0 descendants)
Task #3854191170: depth 6, type 1, seed 3854191170, output 1002265 (2 descendants)
Task #3854353596: depth 11, type 2, seed 3854353596, output 3414266933 (0 descendants)
Task #3857118892: depth 12, type 5, seed 3857118892, output 2924254271 (0 descendants)
Task #3858361594: depth 12, type 3, seed 3858361594, output 14935 (0 descendants)
Task #3859624843: depth 11, type 3, seed 3859624843, output 13702 (0 descendants)
Task #386338304: depth 7, type 3, seed 386338304, output 24152 (2 descendants)
Task #3864678445: depth 11, type 4, seed 3864678445, output 845308468 (0 descendants)
Task #3867358953: depth 11, type 1, seed 3867358953, output 162604 (1 descendants)
Task #3872361481: depth 12, type 1, seed 3872361481, output 671662 (0 descendants)
Task #3877633555: depth 9, type 2, seed 3877633555, output 2789490538 (2 descendants)
Task #3879700752: depth 11, type 2, seed 3879700752, output 1807449895 (3 descendants)
Task #3882379663: depth 12, type 3, seed 3882379663, output 19344 (0 descendants)
Task #3890188640: depth 12, type 2, seed 3890188640, output 1454488405 (0 descendants)
Task #3896647239: depth 11, type 5, seed 3896647239, output 2920027914 (1 descendants)
Task #3902151988: depth 12, type 2, seed 3902151988, output 3106370798 (0 descendants)
Task #3910939964: depth 6, type 1, seed 3910939964, output 455988 (4 descendants)
Task #3914025225: depth 12, type 1, seed 3914025225, output 811985 (0 descendants)
Task #3918192325: depth 7, type 2, seed 3918192325, output 2430298543 (1 descendants)
Task #3924943548: depth 12, type 4, seed 3924943548, output 1630954297 (0 descendants)
Task #3926316448: depth 10, type 5, seed 3926316448, output 2412237697 (1 descendants)
Task #3928322403: depth 9, type 5, seed 3928322403, output 584124508 (3 descendants)
Task #3928885724: depth 12, type 2, seed 3928885724, output 3355779613 (0 descendants)
Task #3930105308: depth 12, type 1, seed 3930105308, output 767747 (0 descendants)
Task #3931650413: depth 12, type 4, seed 3931650413, output 879125860 (0 descendants)
Task #3931670778: depth 12, type 1, seed 3931670778, output 322148 (0 descendants)
Task #3939114735: depth 12, type 4, seed 3939114735, output 1697986406 (0 descendants)
Task #3946578612: depth 12, type 2, seed 3946578612, output 427979973 (0 descendants)
Task #3948301936: depth 11, type 3, seed 3948301936, output 18791 (2 descendants)
Task #3948665732: depth 12, type 2, seed 3948665732, output 1185282510 (0 descendants)
Task #3955714669: depth 10, type 3, seed 3955714669, output 11679 (2 descendants)
Task #3957118630: depth 12, type 1, seed 3957118630, output 426924 (0 descendants)
Task #3957872217: depth 11, type 3, seed 3957872217, output 13067 (1 descendants)
Task #3959231306: depth 12, type 3, seed 3959231306, output 14777 (0 descendants)
Task #3959725037: depth 7, type 4, seed 3959725037, output 1650668387 (5 descendants)
Task #3971503264: depth 7, type 1, seed 3971503264, output 874972 (2 descendants)
Task #3978112186: depth 12, type 3, seed 3978112186, output 22023 (0 descendants)
Task #3978294069: depth 10, type 2, seed 3978294069, output 2724206263 (1 descendants)
Task #3979823759: depth 12, type 2, seed 3979823759, output 2018950901 (0 descendants)
Task #3984584278: depth 4, type 5, seed 3984584278, output 3235967518 (1 descendants)
Task #3990017751: depth 11, type 2, seed 3990017751, output 2293248550 (1 descendants)
Task #3990659210: depth 11, type 5, seed 3990659210, output 4223777354 (0 descendants)
Task #3991436629: depth 11, type 2, seed 3991436629, output 2988529749 (2 descendants)
Task #399212192: depth 10, type 3, seed 399212192, output 15907 (1 descendants)
Task #3995434412: depth 12, type 1, seed 3995434412, output 1075675 (0 descendants)
Task #3996143653: depth 12, type 3, seed 3996143653, output 17326 (0 descendants)
Task #399622835: depth 8, type 1, seed 399622835, output 373126 (2 descendants)
Task #3999834507: depth 9, type 4, seed 3999834507, output 943207990 (1 descendants)
Task #4000324403: depth 11, type 5, seed 4000324403, output 1150739693 (1 descendants)
Task #4001863841: depth 12, type 2, seed 4001863841, output 3536996832 (0 descendants)
Task #400431341: depth 12, type 5, seed 400431341, output 1506900614 (0 descendants)
Task #400600032: depth 12, type 1, seed 400600032, output 414765 (0 descendants)
Task #4013122581: depth 12, type 4, seed 4013122581, output 842544482 (0 descendants)
Task #401335118: depth 12, type 5, seed 401335118, output 1141370883 (0 descendants)
Task #4016181105: depth 10, type 2, seed 4016181105, output 3931115991 (3 descendants)
Task #4016524129: depth 12, type 5, seed 4016524129, output 4286138184 (0 descendants)
Task #4018636535: depth 9, type 1, seed 4018636535, output 474350 (2 descendants)
Task #4019496410: depth 12, type 4, seed 4019496410, output 1633825337 (0 descendants)
Task #4020682433: depth 2, type 3, seed 4020682433, output 16366 (2 descendants)
Task #4023326530: depth 5, type 3, seed 4023326530, output 16472 (3 descendants)
Task #4024093052: depth 11, type 2, seed 4024093052, output 3396682467 (6 descendants)
Task #4024643548: depth 11, type 1, seed 4024643548, output 886417 (2 descendants)
Task #4026400513: depth 12, type 3, seed 4026400513, output 13219 (0 descendants)
Task #4027044140: depth 10, type 1, seed 4027044140, output 790936 (1 descendants)
Task #4030746372: depth 8, type 3, seed 4030746372, output 9896 (3 descendants)
Task #4031960518: depth 12, type 2, seed 4031960518, output 1104345095 (0 descendants)
Task #4036371432: depth 11, type 1, seed 4036371432, output 257208 (3 descendants)
Task #4038953236: depth 12, type 2, seed 4038953236, output 296446885 (0 descendants)
Task #4041547729: depth 9, type 1, seed 4041547729, output 225971 (2 descendants)
Task #404526112: depth 10, type 1, seed 404526112, output 423068 (2 descendants)
Task #4045728467: depth 9, type 3, seed 4045728467, output 13080 (3 descendants)
Task #4046883086: depth 12, type 3, seed 4046883086, output 12237 (0 descendants)
Task #4059002254: depth 7, type 2, seed 4059002254, output 3041855924 (1 descendants)
Task #4060548441: depth 12, type 5, seed 4060548441, output 849704663 (0 descendants)
Task #4061337494: depth 11, type 3, seed 4061337494, output 15737 (4 descendants)
Task #406311950: depth 12, type 5, seed 406311950, output 1809347369 (0 descendants)
Task #406314292: depth 10, type 4, seed 406314292, output 1630877237 (2 descendants)
Task #4065941303: depth 10, type 2, seed 4065941303, output 2396802165 (1 descendants)
Task #4069575779: depth 12, type 2, seed 4069575779, output 2067164435 (0 descendants)
Task #4072934606: depth 6, type 2, seed 4072934606, output 4018233698 (2 descendants)
Task #4073926703: depth 12, type 1, seed 4073926703, output 104594 (0 descendants)
Task #4074017528: depth 11, type 3, seed 4074017528, output 11487 (1 descendants)
Task #4079680002: depth 8, type 5, seed 4079680002, output 2457496128 (1 descendants)
Task #4081148821: depth 10, type 3, seed 4081148821, output 17145 (2 descendants)
Task #408652281: depth 11, type 2, seed 408652281, output 1235641199 (1 descendants)
Task #4092567744: depth 12, type 5, seed 4092567744, output 2065916635 (0 descendants)
Task #4093402881: depth 10, type 5, seed 4093402881, output 3481851809 (1 descendants)
Task #4094595321: depth 11, type 1, seed 4094595321, output 62295 (0 descendants)
Task #4095769541: depth 12, type 1, seed 4095769541, output 941121 (0 descendants)
Task #410199265: depth 12, type 4, seed 410199265, output 962672950 (0 descendants)
Task #4103632091: depth 9, type 3, seed 4103632091, output 20183 (2 descendants)
Task #4109474877: depth 12, type 1, seed 4109474877, output 981805 (0 descendants)
Task #4111507645: depth 12, type 5, seed 4111507645, output 632156845 (0 descendants)
Task #4112839411: depth 12, type 1, seed 4112839411, output 241015 (0 descendants)
Task #4113217000: depth 9, type 5, seed 4113217000, output 4158642424 (3 descendants)
Task #4120670461: depth 12, type 3, seed 4120670461, output 18422 (0 descendants)
